TICKER	DATE	OPEN	HIGH	LOW	CLOSE	VOL	WAPRICE
JPY	1992-07-01	0	0	0	0.1	0	0
JPY	1992-07-03	0	0	0	0.1084	0	0
JPY	1992-07-08	0	0	0	0.105	0	0
JPY	1992-07-10	0	0	0	0.1046	0	0
JPY	1992-07-15	0	0	0	0.1042	0	0
JPY	1992-07-17	0	0	0	0.1083	0	0
JPY	1992-07-22	0	0	0	0.1208	0	0
JPY	1992-07-24	0	0	0	0.1232	0	0
JPY	1992-07-29	0	0	0	0.1266	0	0
JPY	1992-07-31	0	0	0	0.1261	0	0
JPY	1992-08-05	0	0	0	0.1268	0	0
JPY	1992-08-07	0	0	0	0.1267	0	0
JPY	1992-08-12	0	0	0	0.1265	0	0
JPY	1992-08-14	0	0	0	0.1277	0	0
JPY	1992-08-19	0	0	0	0.1289	0	0
JPY	1992-08-21	0	0	0	0.1288	0	0
JPY	1992-08-26	0	0	0	0.1347	0	0
JPY	1992-08-28	0	0	0	0.1639	0	0
JPY	1992-09-02	0	0	0	0.1711	0	0
JPY	1992-09-04	0	0	0	0.171	0	0
JPY	1992-09-09	0	0	0	0.1687	0	0
JPY	1992-09-11	0	0	0	0.1646	0	0
JPY	1992-09-16	0	0	0	0.1648	0	0
JPY	1992-09-18	0	0	0	0.1647	0	0
JPY	1992-09-23	0	0	0	0.1967	0	0
JPY	1992-09-25	0	0	0	0.2055	0	0
JPY	1992-09-30	0	0	0	0.2122	0	0
JPY	1992-10-02	0	0	0	0.2575	0	0
JPY	1992-10-07	0	0	0	0.2857	0	0
JPY	1992-10-09	0	0	0	0.2767	0	0
JPY	1992-10-14	0	0	0	0.2749	0	0
JPY	1992-10-16	0	0	0	0.2803	0	0
JPY	1992-10-21	0	0	0	0.3039	0	0
JPY	1992-10-23	0	0	0	0.3009	0	0
JPY	1992-10-28	0	0	0	0.3215	0	0
JPY	1992-10-30	0	0	0	0.324	0	0
JPY	1992-11-04	0	0	0	0.3208	0	0
JPY	1992-11-06	0	0	0	0.3251	0	0
JPY	1992-11-11	0	0	0	0.3244	0	0
JPY	1992-11-13	0	0	0	0.3378	0	0
JPY	1992-11-18	0	0	0	0.3599	0	0
JPY	1992-11-20	0	0	0	0.3618	0	0
JPY	1992-11-25	0	0	0	0.363	0	0
JPY	1992-11-27	0	0	0	0.3612	0	0
JPY	1992-12-02	0	0	0	0.3345	0	0
JPY	1992-12-04	0	0	0	0.3197	0	0
JPY	1992-12-09	0	0	0	0.3385	0	0
JPY	1992-12-11	0	0	0	0.3378	0	0
JPY	1992-12-16	0	0	0	0.3376	0	0
JPY	1992-12-18	0	0	0	0.338	0	0
JPY	1992-12-23	0	0	0	0.3374	0	0
JPY	1992-12-25	0	0	0	0.3354	0	0
JPY	1992-12-30	0	0	0	0.333	0	0
JPY	1993-01-06	0	0	0	0.3331	0	0
JPY	1993-01-13	0	0	0	0.3387	0	0
JPY	1993-01-15	0	0	0	0.3517	0	0
JPY	1993-01-20	0	0	0	0.3782	0	0
JPY	1993-01-22	0	0	0	0.3951	0	0
JPY	1993-01-27	0	0	0	0.4586	0	0
JPY	1993-01-29	0	0	0	0.461	0	0
JPY	1993-02-03	0	0	0	0.458	0	0
JPY	1993-02-05	0	0	0	0.4595	0	0
JPY	1993-02-10	0	0	0	0.4589	0	0
JPY	1993-02-12	0	0	0	0.4601	0	0
JPY	1993-02-17	0	0	0	0.4643	0	0
JPY	1993-02-19	0	0	0	0.4668	0	0
JPY	1993-02-24	0	0	0	0.4932	0	0
JPY	1993-02-26	0	0	0	0.5047	0	0
JPY	1993-03-03	0	0	0	0.5479	0	0
JPY	1993-03-05	0	0	0	0.5541	0	0
JPY	1993-03-10	0	0	0	0.5552	0	0
JPY	1993-03-12	0	0	0	0.553	0	0
JPY	1993-03-17	0	0	0	0.5633	0	0
JPY	1993-03-19	0	0	0	0.5704	0	0
JPY	1993-03-24	0	0	0	0.594	0	0
JPY	1993-03-26	0	0	0	0.5838	0	0
JPY	1993-03-31	0	0	0	0.5861	0	0
JPY	1993-04-02	0	0	0	0.6044	0	0
JPY	1993-04-07	0	0	0	0.6241	0	0
JPY	1993-04-09	0	0	0	0.6511	0	0
JPY	1993-04-14	0	0	0	0.6752	0	0
