lat,lon,temp,rainfall,soildepth
33.03834915,-87.14859772,17.158768,46.5,151
34.01269913,-86.63339996,16.733103,45.799999,146
32.08162689,-85.70469666,18.395147,49,151
31.74399948,-86.67725372,18.75511,51.799999,151
32.9185257,-85.35935211,18.086554,45.599998,147
32.86545181,-86.69689941,17.752237,46.600002,151
32.00394821,-88.20185089,17.847054,49.5,151
31.59149933,-87.81974792,18.532087,49.200001,151
33.29457474,-85.90750122,17.533102,45.700001,148
33.7167511,-85.59629822,16.710672,45.5,151
32.92907333,-86.25894928,17.825239,47.200001,150
31.74575043,-86.32274628,18.961725,51.799999,151
34.44314957,-87.85154724,16.000717,46.599998,151
32.83895111,-87.94387817,17.544502,48.299999,149
33.54432678,-86.90245056,17.140224,45.299999,147
33.79135132,-88.10984802,16.772034,46.700001,152
32.57804871,-85.34899902,18.086554,45.599998,147
32.17839813,-86.65589905,18.253176,48.700001,149
32.41439819,-85.72805023,18.395147,49,151
32.26077652,-87.78990173,18.088705,47.700001,151
34.11780167,-87.92079926,16.000717,46.599998,151
32.23270035,-86.21414948,18.235744,49.200001,149
32.59090042,-87.2716217,17.578503,47.299999,147
33.26255035,-88.08865356,17.298494,47.200001,152
32.28604889,-85.16970062,18.304657,48.399998,150
33.68040085,-86.32160187,17.033335,44.700001,149
32.79990005,-85.80102539,18.093695,46.400002,147
33.7574501,-87.29485321,16.822495,46.200001,151
32.046875,-87.26184845,18.072311,47.400002,151
34.14965057,-87.37322235,16.631241,46,151
35.24095154,-109.5223007,11.981622,13.7,105
35.63372421,-112.0443497,13.893366,9.4,146
33.73215103,-110.8554993,20.528238,8.4,146
33.03855133,-109.7823486,21.017349,9.7,133
33.10224915,-109.2700272,17.386507,14.9,130
35.61334991,-113.647377,17.300135,6.6,146
35.28625107,-110.2884979,13.880995,14.7,95
34.70529938,-112.4041748,18.412149,7.1,146
34.26305008,-91.38365173,17.30629,43.400002,149
33.20220184,-91.79750061,17.851465,41.5,151
36.23625183,-92.35449982,13.982509,37.200001,104
36.30054855,-94.24210358,15.204724,33.5,114
36.30625153,-93.07749939,14.206556,36,116
33.43534851,-92.16917419,17.992296,39.200001,151
33.55054855,-92.53822327,17.340246,40.400002,151
36.31034851,-93.58204651,15.086835,35,120
34.05889893,-93.19419861,16.830568,40,149
35.53522491,-92.02185059,15.515423,37.899998,105
33.88410187,-92.21414948,17.54903,40.799999,151
33.23625183,-93.23435211,17.524391,38.299999,151
35.55602646,-94.19239807,15.233528,34.700001,113
35.29624939,-90.77185059,16.469622,41.799999,107
33.97534943,-92.64745331,17.340246,40.400002,151
35.11989975,-92.35684967,15.168725,41.700001,107
35.48685074,-93.88870239,15.002769,37.599998,106
36.37625122,-91.80449677,13.901152,38.200001,103
34.58124924,-93.09919739,15.48527,41.200001,120
34.27759933,-92.44317627,17.197317,42.700001,150
33.74240112,-93.70670319,17.179729,37.599998,146
34.32772446,-93.03829956,16.830568,40,149
34.05157471,-94.03794861,16.56279,36.5,137
36.06415176,-91.94454956,13.901152,38.200001,103
36.07097626,-91.05357361,14.080508,38.599998,106
33.97850037,-91.69879913,17.54076,42.5,152
36.03350067,-93.70414734,15.086835,35,120
36.2804985,-92.64982605,13.902322,36.099998,120
33.31639862,-93.85820007,17.390736,36.900002,150
34.54315186,-93.66425323,15.747363,38.400002,138
33.69874954,-93.29360199,17.164362,39.299999,149
35.92494965,-93.23204803,14.99173,36,106
33.58475113,-92.84230042,17.340246,40.400002,151
34.94335175,-92.92479706,15.484301,43.200001,109
34.14757538,-93.65505219,16.545696,38.299999,147
34.45940018,-94.19985199,16.56279,36.5,137
35.42575073,-93.05415344,14.813517,39.799999,106
34.7519989,-92.39234924,15.976307,43.5,116
35.00814819,-90.77572632,16.469622,41.799999,107
34.6358757,-92.65950012,15.484301,43.200001,109
34.88264847,-94.07945251,16.09482,36.599998,130
35.91685104,-92.68115234,15.009584,36.200001,105
35.19205093,-94.23795319,15.346248,36.099998,112
33.97154999,-94.21765137,16.987835,35.799999,145
35.91889954,-92.12684631,15.515423,37.899998,105
33.19630051,-92.52884674,17.701321,39.099998,151
35.57720184,-92.54585266,15.009584,36.200001,105
35.99377441,-94.220047,15.233528,34.700001,113
35.27890015,-91.73325348,15.76657,41.599998,107
38.62889862,-119.8101501,16.013552,15.4,146
38.78570175,-120.5111771,13.962334,25.1,107
36.62549973,-117.2005463,10.816657,16.9,141
40.44647598,-120.6631012,15.941978,16.799999,98
37.5271492,-119.8471985,13.70189,16.1,115
41.59080124,-120.7268982,8.036265,32.799999,102
38.0882988,-118.7369995,14.348927,24.700001,131
39.2710495,-121.0003357,13.830293,32.200001,110
